CD_MUN,cidade_gemea,sede,toca_linha,fronteira
1100015,0,1,1,1
1100031,0,1,1,1
1100056,0,1,0,1
1100064,0,1,0,1
1100072,0,1,0,1
1100080,0,1,1,1
1100106,1,1,1,1
1100148,0,1,0,1
1100189,0,0,0,1
1100205,0,0,1,1
1100288,0,0,0,1
1100296,0,1,0,1
1100304,0,1,0,1
1100320,0,1,0,1
1100338,0,1,1,1
1100346,0,0,0,1
1100379,0,1,1,1
1100452,0,0,0,1
1100502,0,0,0,1
1100700,0,0,0,1
1100924,0,1,0,1
1101005,0,0,0,1
1101450,0,1,0,1
1101468,0,1,1,1
1101476,0,0,0,1
1101484,0,0,0,1
1101492,0,1,1,1
1101500,0,1,0,1
1200013,0,1,1,1
1200054,1,1,1,1
1200104,1,1,1,1
1200138,0,1,0,1
1200179,0,1,1,1
1200203,0,1,1,1
1200252,1,1,1,1
1200302,0,1,1,1
1200328,0,1,1,1
1200336,0,1,1,1
1200344,0,0,1,1
1200351,0,1,1,1
1200385,0,1,1,1
1200393,0,1,1,1
1200401,0,1,0,1
1200427,0,1,1,1
1200435,1,1,1,1
1200450,0,1,0,1
1200500,0,0,1,1
1200609,0,1,0,1
1200708,0,1,1,1
1200807,0,1,0,1
1300060,0,0,0,1
1300201,0,1,1,1
1300409,0,0,1,1
1300607,0,1,1,1
1300706,0,0,0,1
1300904,0,0,0,1
1301654,0,1,0,1
1301803,0,0,0,1
1302108,0,0,1,1
1302306,0,0,0,1
1302405,0,0,0,1
1303007,0,0,0,1
1303601,0,1,1,1
1303700,0,0,1,1
1303809,0,1,1,1
1303908,0,1,0,1
1304062,1,1,1,1
1304237,0,0,0,1
1304302,0,0,0,1
1400027,0,1,1,1
1400050,0,1,1,1
1400100,0,1,0,1
1400159,1,1,1,1
1400175,0,1,0,1
1400209,0,1,1,1
1400233,0,1,1,1
1400282,0,1,1,1
1400308,0,1,0,1
1400407,0,1,1,1
1400456,1,1,1,1
1400472,0,1,0,1
1400506,0,1,0,1
1400605,0,1,0,1
1400704,0,1,1,1
1500404,0,0,0,1
1500503,0,0,1,1
1503002,0,0,0,1
1505106,0,0,1,1
1505304,0,0,1,1
1600055,0,0,0,1
1600105,0,0,0,1
1600154,0,0,0,1
1600204,0,0,0,1
1600238,0,0,0,1
1600279,0,0,1,1
1600501,1,1,1,1
1600550,0,0,0,1
4100459,0,1,0,1
4100509,0,1,0,1
4100707,0,1,0,1
4101002,0,1,0,1
4101051,0,1,0,1
4102000,0,1,0,1
4102604,1,1,1,1
4102752,0,1,0,1
4103008,0,1,0,1
4103024,0,1,0,1
4103057,0,1,0,1
4103156,0,1,1,1
4103222,0,1,0,1
4103354,0,1,0,1
4103370,0,1,0,1
4103453,0,1,0,1
4103479,0,1,0,1
4103909,0,1,0,1
4104055,0,1,0,1
4104428,0,0,0,1
4104501,0,1,1,1
4104600,0,1,0,1
4104808,0,1,0,1
4105003,0,1,0,1
4105300,0,1,0,1
4105409,0,1,0,1
4105607,0,0,0,1
4105706,0,1,0,1
4106308,0,1,0,1
4106456,0,0,0,1
4106506,0,1,0,1
4106571,0,1,0,1
4106605,0,1,0,1
4107124,0,1,0,1
4107157,0,1,0,1
4107207,0,1,0,1
4107256,0,1,0,1
4107405,0,1,0,1
4107520,0,1,0,1
4107538,0,1,1,1
4107546,0,1,0,1
4107850,0,1,0,1
4108205,0,1,0,1
4108304,1,1,1,1
4108320,0,1,0,1
4108403,0,1,0,1
4108601,0,1,0,1
4108809,1,1,1,1
4109302,0,1,0,1
4109658,0,1,0,1
4109757,0,1,0,1
4109906,0,1,0,1
4110052,0,1,0,1
4110607,0,1,0,1
4110656,0,1,0,1
4110953,0,1,1,1
4111209,0,1,0,1
4111555,0,1,0,1
4112207,0,0,0,1
4112751,0,1,0,1
4112959,0,1,0,1
4113254,0,0,0,1
4113304,0,1,0,1
4113452,0,1,0,1
4114351,0,1,0,1
4114401,0,0,0,1
4114609,0,1,1,1
4114708,0,1,0,1
4115101,0,1,0,1
4115309,0,1,0,1
4115358,0,1,0,1
4115408,0,1,0,1
4115606,0,1,0,1
4115804,0,1,0,1
4115853,0,1,1,1
4116059,0,1,0,1
4116109,0,1,0,1
4116703,0,1,0,1
4116950,0,1,0,1
4117057,0,1,0,1
4117206,0,1,0,1
4117222,0,1,0,1
4117255,0,1,0,1
4117453,0,1,0,1
4117602,0,0,0,1
4117909,0,1,0,1
4118451,0,1,1,1
4118501,0,1,0,1
4118857,0,1,0,1
4118907,0,1,0,1
4119004,0,1,1,1
4119251,0,1,0,1
4119806,0,1,1,1
4120150,0,1,0,1
4120358,0,1,1,1
4120655,0,1,0,1
4120853,0,1,0,1
4120903,0,1,0,1
4121000,0,1,0,1
4121257,0,1,0,1
4121356,0,1,0,1
4121406,0,1,0,1
4121604,0,1,0,1
4122156,0,1,0,1
4122602,0,0,0,1
4122800,0,1,0,1
4123006,0,1,0,1
4123303,0,0,0,1
4123501,0,1,1,1
4123709,0,0,0,1
4123808,0,1,0,1
4123824,0,1,0,1
4123956,0,0,0,1
4124020,0,1,0,1
4124053,0,1,0,1
4124400,1,1,1,1
4124806,0,1,0,1
4125209,0,1,0,1
4125357,0,1,0,1
4125456,0,1,0,1
4125704,0,1,1,1
4125753,0,1,0,1
4126272,0,1,0,1
4126355,0,1,1,1
4126652,0,1,0,1
4126801,0,1,0,1
4126900,0,1,0,1
4127403,0,1,0,1
4127700,0,1,0,1
4127858,0,1,0,1
4127908,0,1,0,1
4127957,0,1,0,1
4128005,0,1,0,1
4128104,0,1,0,1
4128559,0,1,0,1
4128609,0,1,0,1
4128625,0,1,0,1
4128708,0,1,0,1
4128807,0,1,0,1
4200101,0,1,0,1
4200507,0,1,0,1
4200556,0,1,0,1
4200804,0,1,0,1
4201273,0,0,0,1
4201653,0,1,0,1
4202081,0,1,1,1
4202099,0,1,0,1
4202156,0,1,1,1
4202537,0,1,0,1
4202578,0,1,0,1
4203105,0,1,0,1
4203501,0,1,0,1
4204103,0,1,0,1
4204202,0,1,0,1
4204301,0,0,0,1
4204350,0,1,0,1
4204400,0,1,0,1
4204459,0,1,0,1
4204707,0,1,0,1
4204756,0,1,0,1
4204905,0,1,0,1
4205001,1,1,1,1
4205175,0,1,0,1
4205308,0,1,0,1
4205357,0,1,0,1
4205431,0,1,0,1
4205605,0,1,0,1
4206405,0,1,1,1
4206603,0,1,0,1
4206652,0,1,0,1
4207650,0,1,0,1
4207684,0,1,0,1
4207700,0,0,0,1
4207759,0,1,0,1
4207858,0,1,0,1
4208005,0,1,0,1
4208401,0,1,1,1
4208955,0,1,0,1
4209177,0,1,0,1
4209458,0,1,0,1
4210506,0,1,0,1
4210555,0,1,0,1
4210902,0,1,0,1
4211009,0,1,0,1
4211405,0,1,0,1
4211454,0,1,0,1
4211652,0,1,0,1
4211850,0,1,0,1
4211876,0,1,0,1
4212007,0,1,0,1
4212106,0,1,0,1
4212239,0,1,1,1
4212908,0,1,0,1
4213153,0,1,0,1
4213401,0,0,0,1
4214151,0,1,1,1
4214201,0,1,0,1
4215075,0,1,0,1
4215208,0,1,0,1
4215356,0,1,0,1
4215554,0,1,1,1
4215687,0,1,0,1
4215695,0,1,0,1
4215752,0,1,0,1
4216008,0,1,0,1
4216107,0,1,0,1
4216255,0,1,0,1
4216701,0,1,1,1
4216909,0,1,0,1
4217154,0,1,0,1
4217204,0,1,0,1
4217303,0,1,0,1
4217501,0,1,0,1
4217550,0,1,0,1
4217758,0,1,0,1
4217956,0,1,0,1
4218756,0,1,1,1
4218855,0,1,0,1
4219101,0,1,0,1
4219507,0,1,0,1
4219606,0,1,0,1
4219705,0,1,0,1
4300001,0,NA,1,1
4300002,0,NA,0,1
4300034,1,1,1,1
4300208,0,1,0,1
4300307,0,1,1,1
4300406,0,1,0,1
4300455,0,1,0,1
4300471,0,1,0,1
4300505,0,1,0,1
4300646,0,1,0,1
4300901,0,1,0,1
4301073,0,1,0,1
4301305,0,1,0,1
4301503,0,1,0,1
4301602,0,1,1,1
4301701,0,1,0,1
4301859,0,1,0,1
4301875,1,1,1,1
4301925,0,1,0,1
4301958,0,1,0,1
4302055,0,1,0,1
4302154,0,1,0,1
4302204,0,1,0,1
4302220,0,1,0,1
4302378,0,1,0,1
4302501,0,1,0,1
4302584,0,1,0,1
4302600,0,1,0,1
4302808,0,1,0,1
4302907,0,1,0,1
