COD. UF,UF,CODMUN7,NOME DO MUNICÍPIO,POP22,POP21,POP20,POP19,POP18,POP17,POP16,POP15,POP14,POP13,POP12,POP11,POP24
11,RO,1100015,Alta Floresta D'Oeste,21558,22516,22728,22945,23167,25437,25506,25578,25652,25728,24069,24228,22853
11,RO,1100023,Ariquemes,100896,111148,109523,107863,106168,107345,105896,104401,102860,101269,92747,91570,108573
11,RO,1100031,Cabixi,5107,5067,5188,5312,5438,6224,6289,6355,6424,6495,6132,6221,5690
11,RO,1100049,Cacoal,92202,86416,85893,85359,84813,88507,87877,87226,86556,85863,79330,78958,97637
11,RO,1100056,Cerejeiras,15237,16088,16204,16323,16444,17934,17959,17986,18013,18041,16852,16939,16975
11,RO,1100064,Colorado do Oeste,15747,15213,15544,15882,16227,18467,18639,18817,19001,19190,18093,18338,16588
11,RO,1100072,Corumbiara,7503,7052,7220,7391,7567,8659,8749,8842,8938,9036,8530,8654,8001
11,RO,1100080,Costa Marques,12633,19255,18798,18331,17855,17400,17031,16651,16258,15853,14355,14022,13522
11,RO,1100098,Espigão D'Oeste,29722,33009,32695,32374,32047,33030,32712,32385,32047,31699,29189,28962,32717
11,RO,1100106,Guajará-Mirim,39396,46930,46556,46174,45783,47451,47048,46632,46203,45761,42202,41933,43553
11,RO,1100114,Jaru,52090,51469,51620,51775,51933,55871,55806,55738,55669,55597,51765,51883,55583
11,RO,1100122,Ji-Paraná,136825,131026,130009,128969,127907,132667,131560,130419,129242,128026,118092,117363,139359
11,RO,1100130,Machadinho D'Oeste,30626,41724,40867,39991,39097,38609,37899,37167,36412,35633,32403,31779,34063
11,RO,1100148,Nova Brasilândia D'Oeste,17355,20504,20489,20474,20459,21747,21670,21592,21511,21427,19891,19882,16504
11,RO,1100155,Ouro Preto do Oeste,36753,35445,35737,36035,36340,39759,39840,39924,40010,40099,37482,37701,38681
11,RO,1100189,Pimenta Bueno,37464,37098,36881,36660,36434,38051,37786,37512,37230,36939,34135,33981,39053
11,RO,1100205,Porto Velho,461748,548952,539354,529544,519530.99999999994,519436,511219,502748,494013,484992,442701,435732,514873
11,RO,1100254,Presidente Médici,19316,18165,18571,18986,19409,22124,22337,22557,22783,23017,21709,22008,20518
11,RO,1100262,Rio Crespo,3476,3843,3804,3764,3723,3829,3790,3750,3709,3666,3374,3345,3753
