COD. UF,UF,CODMUN7,NOME DO MUNICÍPIO,POP20,POP21,POP22
11,RO,1100015,Alta Floresta D'Oeste,22728,22516,21558
11,RO,1100023,Ariquemes,109523,111148,100896
11,RO,1100031,Cabixi,5188,5067,5107
11,RO,1100049,Cacoal,85893,86416,92202
11,RO,1100056,Cerejeiras,16204,16088,15237
11,RO,1100064,Colorado do Oeste,15544,15213,15747
11,RO,1100072,Corumbiara,7220,7052,7503
11,RO,1100080,Costa Marques,18798,19255,12633
11,RO,1100098,Espigão D'Oeste,32695,33009,29722
11,RO,1100106,Guajará-Mirim,46556,46930,39396
11,RO,1100114,Jaru,51620,51469,52090
11,RO,1100122,Ji-Paraná,130009,131026,136825
11,RO,1100130,Machadinho D'Oeste,40867,41724,30626
11,RO,1100148,Nova Brasilândia D'Oeste,20489,20504,17355
11,RO,1100155,Ouro Preto do Oeste,35737,35445,36753
11,RO,1100189,Pimenta Bueno,36881,37098,37464
11,RO,1100205,Porto Velho,539354,548952,461748
11,RO,1100254,Presidente Médici,18571,18165,19316
11,RO,1100262,Rio Crespo,3804,3843,3476
11,RO,1100288,Rolim de Moura,55407,55748,57180
11,RO,1100296,Santa Luzia D'Oeste,6216,5942,7394
11,RO,1100304,Vilhena,102211,104517,95599
11,RO,1100320,São Miguel do Guaporé,23077,23147,21612
11,RO,1100338,Nova Mamoré,31392,32184,25452
11,RO,1100346,Alvorada D'Oeste,14106,13807,13092
11,RO,1100379,Alto Alegre dos Parecis,13255,13268,13023
11,RO,1100403,Alto Paraíso,21847,22258,17140
11,RO,1100452,Buritis,40356,41043,28178
11,RO,1100502,Novo Horizonte do Oeste,8329,8125,7653
11,RO,1100601,Cacaulândia,6269,6307,4157
11,RO,1100700,Campo Novo de Rondônia,14266,14391,8840
11,RO,1100809,Candeias do Jamari,27388,28068,22564
11,RO,1100908,Castanheiras,2987,2923,3269
11,RO,1100924,Chupinguaia,11472,11755,9351
11,RO,1100940,Cujubim,26183,27131,14338
11,RO,1101005,Governador Jorge Teixeira,7445,7130,8012
11,RO,1101104,Itapuã do Oeste,10641,10819,9465
11,RO,1101203,Ministro Andreazza,9559,9461,6440
11,RO,1101302,Mirante da Serra,10818,10691,9200
11,RO,1101401,Monte Negro,16007,16158,11966
11,RO,1101435,Nova União,6895,6822,6194
11,RO,1101450,Parecis,6198,6319,3953
11,RO,1101468,Pimenteiras do Oeste,2148,2127,2180
11,RO,1101476,Primavera de Rondônia,2776,2697,3071
11,RO,1101484,São Felipe D'Oeste,5066,4962,5259
11,RO,1101492,São Francisco do Guaporé,20681,21088,16302
11,RO,1101500,Seringueiras,11851,11846,11183
11,RO,1101559,Teixeirópolis,4233,4160,4284
11,RO,1101609,Theobroma,10395,10348,9253
11,RO,1101708,Urupá,11272,11081,10828
11,RO,1101757,Vale do Anari,11377,11545,7806
11,RO,1101807,Vale do Paraíso,6656,6490,6487
12,AC,1200013,Acrelândia,15490,15721,12707
12,AC,1200054,Assis Brasil,7534,7649,8157
